店家名稱,產品名稱,店家商品數量,店家評價,店家出貨天數,店家回覆率,特價,折數,商品評分,購買人數
大通時尚數位,【贈316不鏽鋼湯匙兩入】日本BRUNO BRUNO BZK-B01 冰淇淋機 公司貨,124,4.8,0.8,99%,3480,100,0 ,5 
ONAIR,ONAIR 第二代快充帶支架版 自帶4線 無線充電 10000 mAh 行動電源,20,4.7,0.9,100%,990,100,4.6 ,34 
好買網,三星 Galaxy A13 5G (4G/64G) 台灣公司貨 全新品 保固一年 贈玻貼+皮套,23,4.9,0.5,100%,5090,100,0 ,3 
【CityStar 22】,匠人工藝便攜迷你電動刮鬍刀,595,4.4,0.9,100%,513,100,4.4 ,38 
怡眾百貨名品家電,【贈九陽四件刀具組】九陽 Joyoung 破壁免濾豆漿機 DJ13M-P10(豆漿機),320,4.9,0.8,100%,4990,100,5 ,7 
GAME休閒館,Xbox Series S 主機 數位版+《GamePass卡一張》,1074,4.9,1.6,100%,9980,100,0 ,2 
綠風潮網路商城,BenQ MS550 SVGA 長效節能高亮商用投影機,2371,4.7,0.8,100%,9900,100,0 ,1 
太星電工,【太星電工】彩色四開四插電腦線/3P15A6尺(紅.橙.綠) OCB44306,255,4.7,0.8,100%,371,100,0 ,36 
特優科技有限公司,【電壓220V】特優Aplus 在線互動式UPS Plus1E-US800N(800VA/480W),35,5,0.8,100%,2019,100,5 ,7 
LEGENT麗晶科技家電,【日本SONGEN】松井11000BTU手機APP智控冷暖型移動式冷氣機/空調(SG-A413CH),230,4.5,0.8,100%,10084,100,4 ,7 
林伯家電特賣,【CHIMEI奇美】6L一級能效時尚美型除濕機 (RH-06E0RM),864,4.7,0.9,100%,4980,100,1 ,6 
百科數位3C,HP W1500A(150A) 黑色原廠碳粉匣 適用HP M111w / M141w,281,4.9,0.7,100%,1666,100,4.9 ,108 
3C軟體專賣店,諾頓360 入門版-1台裝置3年 (送諾頓茶水分離杯),44,4.8,0.6,100%,1905,100,5 ,9 
WOLF WALKERS,🔥台灣現貨+免運🔥110V電動絞肉機 攪拌機 多功能料理機 切菜機 碎肉機 打肉機 家用 不鏽鋼,24,4.5,0.8,100%,782,100,4.8 ,20 
大元電器有限公司,【買一送一】華元 12吋外旋循環涼風扇 HY-1208 (一箱2入),269,4.7,0.5,100%,979,100,4.7 ,"2,682"
嘉滿意店舖,蘋果【頂級重低音】藍牙耳機 改名定位 AirPoops 2 蘋果藍牙耳機 無線充電盒 台灣NCC認證,152,4.6,0.7,100%,1557,100,5 ,17 
東京Color,amadana 極靜高效除濕機16L HD-244T,90,4.7,0.7,99%,9990,100,0 ,1 
mygoodmygood,Samsung Galaxy A53(8G128G),424,4.9,0.5,100%,9490,100,0 ,1 
縱貫線3C量販店,Haier海爾 5L免安裝RO瞬熱式淨水器(小白鯨) WD501,1056,4.7,1.4,100%,9780,100,5 ,1 
GAME休閒館,【每日限量2台】Xbox Series S 主機 (數位版),1074,4.9,1.6,100%,9480,100,5 ,8 
良威商城3C數位購物網,15個月~ 微軟 Microsoft Office 365 個人版-中文版 數位下載版 無實體盒裝,116,4.8,1.1,100%,1580,100,5 ,50 
出入平安,亮碟 洗碗機 強力洗滌粉劑(洗碗粉)1kg x3瓶,196,4.8,0.7,100%,1214,100,4.9 ,303 
雙喬國際,【SANLUX 台灣三洋】208L 節能臥式冷凍櫃 SCF-208GE (含原廠基本安裝),65,4.6,1.7,100%,9400,100,5 ,4 
